YAL014C,12,256,0.0098,0.045,0.89464
YAL018C,17,326,0.02025,0.135,0.90446
YAL020C,20,334,0.01567,0.075,0.88309
YAL025C,25,307,0.01692,0.115,0.91518
YAL027W,28,262,0.01784,0.105,0.90676
YAL037W,43,268,0.01588,0.075,0.9001
YAL039C,45,270,0.01757,0.095,0.91578
YBL010C,121,281,0.01667,0.095,0.91518
YBL030C,142,319,0.01871,0.175,0.94333
YBL031W,143,339,0.01115,0.065,0.90445
YBL033C,145,346,0.01717,0.085,0.8792
YBL036C,148,258,0.0201,0.135,0.93455
YBL043W,155,258,0.02498,0.145,0.92663
YBL050W,162,293,0.01522,0.095,0.91269
YBL064C,177,262,0.02305,0.175,0.92853
YBL068W,181,328,0.01448,0.095,0.91769
YBL095W,210,271,0.0124,0.065,0.91553
YBR011C,240,288,0.02037,0.225,0.9482
YBR024W,253,302,0.01341,0.075,0.91286
YBR034C,263,349,0.02148,0.165,0.91645
YBR037C,266,296,0.0163,0.085,0.89064
YBR039W,268,312,0.01521,0.145,0.94204
YBR040W,269,299,0.01264,0.075,0.90885
YBR046C,275,335,0.01663,0.105,0.90081
YBR050C,279,339,0.01213,0.065,0.89471
YBR054W,283,345,0.01822,0.155,0.93476
YBR061C,292,311,0.01667,0.095,0.90194
YBR076W,306,340,0.01043,0.065,0.9016
YBR085W,317,308,0.01667,0.115,0.9227
YBR101C,333,291,0.02014,0.125,0.91806
YBR104W,337,330,0.01258,0.075,0.90205
YBR119W,353,299,0.01864,0.095,0.88352
YBR128C,363,345,0.01433,0.075,0.87656
YBR129C,364,329,0.00701,0.045,0.89899
YBR141C,376,338,0.01424,0.085,0.88276
YBR146W,381,279,0.00909,0.055,0.9082
YBR147W,382,297,0.01196,0.065,0.90135
YBR149W,384,345,0.01753,0.125,0.90766
YBR151W,386,317,0.00806,0.055,0.90586
YBR157C,392,256,0.0318,0.185,0.91958
YBR159W,394,348,0.01631,0.135,0.914
YBR160W,395,299,0.01811,0.115,0.91765
YBR165W,401,278,0.01587,0.085,0.89759
YBR176W,412,313,0.01726,0.105,0.90459
YBR183W,419,317,0.01611,0.085,0.89371
YBR185C,421,279,0.01458,0.095,0.90879
YBR187W,423,281,0.00952,0.065,0.92062
YBR211C,448,325,0.01322,0.075,0.888
YBR213W,450,275,0.01304,0.075,0.90574
YBR228W,465,305,0.01322,0.085,0.90358
YBR231C,468,304,0.0169,0.085,0.8897
YBR251W,489,308,0.01825,0.115,0.90953
YBR257W,496,280,0.02231,0.135,0.91682
YBR290W,529,322,0.014,0.095,0.90271
YBR291C,530,300,0.01661,0.095,0.91576
YCL002C,545,252,0.01961,0.125,0.91169
YCL005W,547,257,0.00785,0.045,0.90534
YCL009C,550,310,0.00884,0.065,0.91044
YCL010C,551,260,0.01339,0.075,0.90341
YCL031C,568,298,0.00926,0.065,0.92025
YCL032W,569,347,0.0146,0.085,0.89332
YCL047C,584,259,0.0172,0.105,0.91392
YCL049C,586,313,0.01679,0.105,0.89974
YCL050C,587,322,0.02229,0.195,0.93115
YCL055W,591,336,0.01518,0.085,0.89517
YCL059C,596,317,0.01593,0.115,0.91798
YCL068C,603,261,0.01418,0.075,0.90342
YCR002C,608,323,0.01706,0.135,0.91045
YCR010C,616,284,0.0136,0.105,0.92967
YCR015C,621,318,0.01351,0.085,0.91204
YCR016W,622,291,0.01867,0.115,0.91522
YCR021C,630,333,0.01299,0.095,0.9129
YCR034W,644,348,0.02029,0.145,0.90832
YCR036W,646,334,0.01212,0.075,0.90007
YCR047C,658,276,0.01751,0.085,0.89283
YCR059C,667,259,0.00779,0.045,0.92143
YCR069W,676,319,0.01232,0.075,0.90886
YCR075C,681,261,0.01049,0.055,0.90944
YCR076C,682,251,0.01978,0.105,0.91865
YDR044W,1016,329,0.01824,0.215,0.93455
YDR051C,1023,335,0.01431,0.095,0.89795
YDR054C,1026,296,0.01784,0.115,0.91056
YDR058C,1030,327,0.01804,0.105,0.90367
YDR068W,1040,311,0.01994,0.135,0.92383
YDR075W,1047,309,0.01069,0.065,0.90903
YDR077W,1049,339,0.01776,0.175,0.93241
YDR087C,1060,279,0.01999,0.115,0.9215
YDR090C,1063,311,0.01635,0.095,0.90581
YDR098C,1071,286,0.01681,0.115,0.92097
YDR099W,1072,274,0.01985,0.155,0.94611
YDR106W,1079,285,0.01459,0.085,0.90512
YDR116C,1089,286,0.01408,0.085,0.91931
YDR123C,1096,305,0.01238,0.065,0.89172
YDR124W,1097,325,0.01068,0.065,0.89283
YDR126W,1099,337,0.01402,0.075,0.88222
YDR130C,1103,292,0.01675,0.085,0.88991
YDR151C,1123,326,0.01455,0.075,0.89415
YDR152W,1124,266,0.01768,0.125,0.9225
YDR175C,1147,320,0.01607,0.095,0.90456
YDR184C,1157,295,0.01221,0.075,0.92387
YDR204W,1177,336,0.0139,0.085,0.89411
YDR233C,1206,296,0.02096,0.205,0.94219
YDR237W,1210,293,0.01327,0.085,0.91652
YDR262W,1235,273,0.01937,0.115,0.91129
YDR265W,1238,338,0.01322,0.075,0.89898
YDR267C,1240,331,0.01482,0.095,0.90448
YDR272W,1245,275,0.01893,0.135,0.92349
